"";"comuna_datachile_id";"candidato_id";"votos_candidato";"electo";"year";"election_id";"candidato";"region_id";"region_name";"comuna_name"
"151";6;535;61;0;2017;1;"Alejandro Navarro Brain";10;"Los Lagos";"Ancud"
"152";6;7;182;0;2013;1;"Roxana Miranda Meneses";10;"Los Lagos";"Ancud"
"153";6;2550;8198;1;2017;2;" Sebastian Pinera Echenique";10;"Los Lagos";"Ancud"
"154";6;8;201;0;2013;1;"Votos Nulos";10;"Los Lagos";"Ancud"
"155";6;2552;91;0;2017;1;"Eduardo Artes Brichetti";10;"Los Lagos";"Ancud"
"156";6;3;1299;0;2013;1;"Marco Enriquez-Ominami Gumucio";10;"Los Lagos";"Ancud"
"157";6;567;3458;0;2017;1;"Alejandro Guillier Alvarez";10;"Los Lagos";"Ancud"
"158";6;2550;5529;0;2017;1;" Sebastian Pinera Echenique";10;"Los Lagos";"Ancud"
"159";6;8;122;0;2017;2;"Votos Nulos";10;"Los Lagos";"Ancud"
"160";6;9;79;0;2013;2;"Votos En Blanco";10;"Los Lagos";"Ancud"
"161";6;6;249;0;2013;1;"Alfredo Sfeir Younis";10;"Los Lagos";"Ancud"
"162";6;9;215;0;2013;1;"Votos En Blanco";10;"Los Lagos";"Ancud"
"163";6;4;1293;0;2013;1;"Franco Aldo Parisi Fernandez";10;"Los Lagos";"Ancud"
"164";6;5;427;0;2013;1;"Marcel Claude Reyes";10;"Los Lagos";"Ancud"
"165";6;2551;3008;0;2017;1;"Beatriz Sanchez Munoz";10;"Los Lagos";"Ancud"
"166";6;8;180;0;2013;2;"Votos Nulos";10;"Los Lagos";"Ancud"
"167";6;147;1103;0;2017;1;"Jose Antonio Kast Rist";10;"Los Lagos";"Ancud"
"168";6;2;4345;0;2013;1;"Evelyn Matthei Fornet";10;"Los Lagos";"Ancud"
"169";6;3;806;0;2017;1;"Marco Enriquez-Ominami Gumucio";10;"Los Lagos";"Ancud"
"170";6;9;40;0;2017;2;"Votos En Blanco";10;"Los Lagos";"Ancud"
"171";6;1;7902;0;2013;1;"Michelle Bachelet Jeria";10;"Los Lagos";"Ancud"
"172";6;11;26;0;2013;1;"Tomas Jocelyn-Holt Letelier";10;"Los Lagos";"Ancud"
"173";6;9;161;0;2017;1;"Votos En Blanco";10;"Los Lagos";"Ancud"
"174";6;567;7774;0;2017;2;"Alejandro Guillier Alvarez";10;"Los Lagos";"Ancud"
"175";7;2550;1702;0;2017;1;" Sebastian Pinera Echenique";4;"Coquimbo";"Andacollo"
"176";7;2552;37;0;2017;1;"Eduardo Artes Brichetti";4;"Coquimbo";"Andacollo"
"177";7;6;45;0;2013;1;"Alfredo Sfeir Younis";4;"Coquimbo";"Andacollo"
"178";7;3;281;0;2017;1;"Marco Enriquez-Ominami Gumucio";4;"Coquimbo";"Andacollo"
"179";7;567;3130;0;2017;2;"Alejandro Guillier Alvarez";4;"Coquimbo";"Andacollo"
"180";7;8;64;0;2017;1;"Votos Nulos";4;"Coquimbo";"Andacollo"
"181";7;8;50;0;2013;2;"Votos Nulos";4;"Coquimbo";"Andacollo"
"182";7;1;3594;0;2013;1;"Michelle Bachelet Jeria";4;"Coquimbo";"Andacollo"
"183";7;3;369;0;2013;1;"Marco Enriquez-Ominami Gumucio";4;"Coquimbo";"Andacollo"
"184";7;9;21;0;2017;2;"Votos En Blanco";4;"Coquimbo";"Andacollo"
"185";7;9;48;0;2017;1;"Votos En Blanco";4;"Coquimbo";"Andacollo"
"186";7;11;6;0;2013;1;"Tomas Jocelyn-Holt Letelier";4;"Coquimbo";"Andacollo"
"187";7;561;322;0;2017;1;"Carolina Goic Boroevic";4;"Coquimbo";"Andacollo"
"188";7;9;57;0;2013;1;"Votos En Blanco";4;"Coquimbo";"Andacollo"
"189";7;8;42;0;2017;2;"Votos Nulos";4;"Coquimbo";"Andacollo"
"190";7;147;99;0;2017;1;"Jose Antonio Kast Rist";4;"Coquimbo";"Andacollo"
"191";7;10;22;0;2013;1;"Ricardo Israel Zipper";4;"Coquimbo";"Andacollo"
"192";7;5;62;0;2013;1;"Marcel Claude Reyes";4;"Coquimbo";"Andacollo"
